canonical_topic,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26
login issues,5,8,12,15,18,22
notification delay,3,4,7,9,11,14
feature request: dark mode,2,3,5,6,8,10
crash on startup,1,2,4,5,7,8
battery drain,4,5,6,8,10,12
ui performance slow,2,3,4,5,6,7
feature request: cloud sync,1,1,2,3,4,5
audio quality issue,3,4,5,6,7,8
feature request: offline mode,2,2,3,4,5,6
message not sending,1,3,5,7,9,11
app freezes,2,3,5,7,9,11
feature request: voice messages,1,2,3,4,5,6
search functionality issue,1,1,2,3,4,5
data loss problem,0,1,2,3,4,5
feature request: themes,0,1,2,3,4,5
